0,1,2,3,4,5,6
2.0,0.42869,1.0,0.27104722792607805,1.6959292327733284,0.2527758775046111,9.9e-07
2.0,0.0,1.0,0.09582477754962354,0.5995709408794595,0.0,9.9e-07
2.0,0.0,1.0,0.6899383983572895,4.316910774332109,0.0,9.9e-07
2.0,0.0,1.0,0.37782340862423,2.3640225668961543,0.0,9.9e-07
2.0,0.0,1.0,0.07665982203969883,0.4796567527035675,0.0,9.9e-07
2.0,0.018129,1.0,0.2737850787132101,1.7130598310841698,0.010582817757466433,9.9e-07
2.0,0.0,1.0,0.459958932238193,2.877940516221406,0.0,9.9e-07
2.0,0.20413,1.0,0.16427104722792607,1.0278358986505018,0.19860174203684916,9.9e-07
2.0,0.0,1.0,0.5804243668720055,3.6316868418984405,0.0,9.9e-07
2.0,0.0,1.0,0.8213552361396304,5.13917949325251,0.0,9.9e-07
2.0,0.0,1.0,0.2600958247775496,1.6274068395299617,0.0,9.9e-07
2.0,0.98961,1.0,0.04654346338124572,0.2912201712843089,3.398150600748997,9.9e-07
2.0,0.008333,1.0,0.9691991786447639,6.064231802037963,0.0013741229346146677,9.9e-07
2.0,0.093585,1.0,0.8542094455852156,5.34474667298261,0.017509716685557213,9.9e-07
2.0,0.0,1.0,0.9390828199863107,5.875795220618703,0.0,9.9e-07
2.0,0.0,1.0,0.9144421629021219,5.721619835821128,0.0,9.9e-07
2.0,0.0,1.0,0.7008898015058179,4.385433167575475,0.0,9.9e-07
2.0,0.0,1.0,0.6516084873374401,4.077082397980325,0.0,9.9e-07
2.0,0.0,1.0,0.038329911019849415,0.23982837635178375,0.0,9.9e-07
2.0,0.0,1.0,0.3066392881587953,1.91862701081427,0.0,9.9e-07
2.0,0.0,1.0,0.7967145790554415,4.985004108454935,0.0,9.9e-07
2.0,0.0,1.0,0.3805612594113621,2.3811531652069964,0.0,9.9e-07
2.0,0.0,1.0,0.10951403148528405,0.685223932433668,0.0,9.9e-07
2.0,0.008413999999999998,1.0,0.013689253935660506,0.0856529915542085,0.09823358002241991,9.9e-07
2.0,0.07073,1.0,0.29568788501026694,1.8501046175709035,0.03823027050916992,9.9e-07
2.0,0.0,1.0,0.19164955509924708,1.199141881758919,0.0,9.9e-07
2.0,0.13673,1.0,0.5311430527036276,3.3233360723032894,0.04114239337378755,9.9e-07
2.0,0.072743,1.0,0.09308692676249145,0.5824403425686178,0.12489347780958372,9.9e-07
2.0,0.9428200000000002,1.0,0.008213552361396304,0.0513917949325251,18.3457301158264,9.9e-07
2.0,0.041982,1.0,0.7200547570157426,4.5053473557513675,0.009318260432551835,9.9e-07
2.0,0.092952,1.0,0.837782340862423,5.24196308311756,0.01773228817642083,9.9e-07
2.0,0.0,1.0,0.5393566050650239,3.3747278672358147,0.0,9.9e-07
2.0,0.0,1.0,0.6598220396988365,4.12847419291285,0.0,9.9e-07
2.0,0.0,1.0,0.7008898015058179,4.385433167575475,0.0,9.9e-07
2.0,0.9512,1.0,0.9117043121149897,5.704489237510286,0.16674586635124403,9.9e-07
2.0,0.0,1.0,0.30937713894592744,1.9357576091251123,0.0,9.9e-07
2.0,0.0,1.0,0.13689253935660506,0.8565299155420849,0.0,9.9e-07
2.0,0.35008,1.0,0.6981519507186859,4.368302569264634,0.08014096882005428,9.9e-07
2.0,0.29826,1.0,0.10677618069815195,0.6680933341228262,0.4464346293644746,9.9e-07
2.0,0.008333,1.0,0.17796030116358658,1.1134888902047104,0.0074836849054398845,9.9e-07
2.0,0.0,1.0,0.25735797399041754,1.6102762412191198,0.0,9.9e-07
2.0,0.0,1.0,0.05475701574264202,0.342611966216834,0.0,9.9e-07
2.0,1.101,1.0,0.0027378507871321013,0.0171305983108417,64.27096006933941,9.9e-07
2.0,0.0,1.0,0.12867898699520877,0.8051381206095599,0.0,9.9e-07
2.0,0.0,1.0,0.01642710472279261,0.1027835898650502,0.0,9.9e-07
2.0,0.0,1.0,0.16700889801505817,1.0449664969613437,0.0,9.9e-07
2.0,0.0,1.0,0.03285420944558522,0.2055671797301004,0.0,9.9e-07
2.0,0.029481,1.0,0.70362765229295,4.402563765886317,0.006696325497528582,9.9e-07
2.0,0.0,1.0,0.7091033538672142,4.436824962508,0.0,9.9e-07
2.0,0.0,1.0,0.2546201232032854,1.5931456429082782,0.0,9.9e-07
2.0,0.0,1.0,0.04106776180698152,0.25695897466262546,0.0,9.9e-07
2.0,0.0,1.0,0.6461327857631759,4.042821201358641,0.0,9.9e-07
2.0,0.0,1.0,0.47091033538672145,2.9464629094647723,0.0,9.9e-07
2.0,0.0,1.0,0.30937713894592744,1.9357576091251123,0.0,9.9e-07
2.0,0.26181,1.0,0.23819301848049282,1.4903620530432278,0.17566872389524416,9.9e-07
2.0,0.0,1.0,0.04380561259411362,0.2740895729734672,0.0,9.9e-07
2.0,0.0098184,1.0,0.4791238877481177,2.997854704397297,0.0032751420492788483,9.9e-07
2.0,0.2106,1.0,0.11225188227241616,0.7023545307445097,0.29984856761265544,9.9e-07
2.0,0.0,1.0,0.6023271731690623,3.7687316283851735,0.0,9.9e-07
2.0,0.0,1.0,0.6899383983572895,4.316910774332109,0.0,9.9e-07
2.0,0.39947,1.0,0.15879534565366188,0.9935747020288186,0.4020533123320338,9.9e-07
2.0,0.0,1.0,0.1834360027378508,1.147750086826394,0.0,9.9e-07
2.0,0.0,1.0,0.19164955509924708,1.199141881758919,0.0,9.9e-07
2.0,0.0,1.0,0.2600958247775496,1.6274068395299617,0.0,9.9e-07
2.0,0.0,1.0,0.6680355920602327,4.179865987845375,0.0,9.9e-07
