1000355,26.0,540
1000435,32.0,220
1002978,,740
1003056,,760
1004628,,745
1004651,,0
1004905,,750
1005963,,580
1006564,,160
1006750,,745
1006770,188.0,220
1007476,,420
1007479,30.0,430
1007481,,575
1007482,,395
1007484,,580
1007485,6605.0,220
1007777,4.0,430
1007807,,890
1008051,,160
1008052,6.0,580
1008053,,540
1008066,28.0,305
1008078,323.0,507
1008079,1876.0,260
1008086,49.0,575
1008087,,540
1008092,,220
1008111,,890
1008113,158.0,220
1008116,87.0,160
1008134,,350
1008139,,0
1008141,70.0,430
1008163,,745
1008167,35.0,575
1008170,,507
1008172,,890
1008173,,395
1008190,12.0,305
1008202,,540
1008203,2.0,515
1008219,42.0,220
1008224,38.0,220
1008241,412.0,360
1008270,,540
1008275,5.0,395
1008287,1.0,360
1008289,1758.0,420
1008290,5.0,430
1008293,250.0,220
1008296,96.0,595
1008298,,0
1008299,14.0,305
1008308,,760
1008331,,430
1008346,,745
1008348,35.0,305
1008350,,160
1008351,4.0,430
1008352,,360
1008355,392.0,595
1008383,45.0,350
1008396,197.0,515
1008402,,745
1008405,,730
1008407,,575
1008411,6.0,360
1008439,39.0,220
1008471,,395
1008472,29.0,360
1008474,15.0,345
1008475,,430
1008481,20.0,160
1008490,25.0,395
1008492,439.0,230
1008503,8.0,160
1008506,271.0,210
1008523,645.0,160
1008526,,220
1008527,252.0,230
1008528,,260
1008534,,890
1008536,0.0,415
1008540,4.0,580
1008548,4.0,220
1008577,,395
1008587,34.0,260
1008588,288.0,345
1008590,,535
1008598,5.0,360
1008607,,430
1008608,,455
1008616,87.0,350
1008630,1232.0,220
1008632,410.0,430
1008639,,430
1008642,3.0,430
1008673,3.0,160
1008700,4.0,430
1008702,2.0,360
1008714,332.0,220
1008753,11.0,345
1008755,,540
1008783,117.0,160
1008788,,430
1008795,,160
1008806,582.0,360
1008807,37.0,375
1008857,,515
1008882,126.0,160
1008885,,210
1008888,35.0,0
1008890,,430
1008937,36.0,160
1008954,,535
1008957,55.0,230
1008958,,260
1008959,1.0,430
1008976,336.0,350
1008977,1113.0,420
1008979,,540
1008980,401.0,395
1008984,,0
1008998,,430
1009039,48.0,430
1009056,76.0,430
1009076,133.0,580
1009082,117.0,230
1009101,141.0,305
1009106,,395
1009115,,355
1009125,,535
1009126,,515
1009135,147.0,360
1009139,,455
1009143,38.0,360
1009165,2990.0,575
1009170,1.0,260
1009185,,540
1009192,,430
1009197,,395
1009238,18.0,220
1009240,1.0,430
1009242,42.0,580
1009253,,395
1009260,,360
1009261,,395
1009265,,360
1009274,14.0,360
1009276,1156.0,415
1009278,1.0,515
1009286,,540
1009289,10.0,0
1009301,,160
1009332,25.0,820
1009335,187.0,360
1009350,,575
1009353,418.0,360
1009357,76.0,575
1009386,48.0,220
1009389,123.0,575
1009390,52.0,430
1009391,5.0,430
1009392,13.0,345
1009434,104.0,430
1009436,,305
1009490,67.0,220
1009547,112.0,360
1009582,,745
1009584,211.0,260
1009588,570.0,220
1009595,,395
1009607,,395
1009624,27.0,220
1009625,,395
1009665,,400
1009666,,415
1009674,,430
1009683,,220
1009686,17.0,230
1009689,,420
1009706,375.0,220
1009720,,220
1009728,91.0,220
1009731,,540
1009732,35.0,160
1009750,12.0,0
1009762,,395
1009783,94.0,220
1009785,30.0,595
1009811,148.0,260
1009813,1.0,430
1009830,,515
1009837,23.0,220
1009848,70.0,220
1009860,1.0,400
1009862,6.0,220
1009878,,160
1009890,63.0,230
