FACILITY_ID,Basin_ID
1000355,540
1000435,220
1002978,740
1003056,760
1004628,745
1004905,750
1005963,580
1006564,160
1006750,745
1006770,220
1007476,420
1007479,430
1007481,575
1007482,395
1007484,580
1007485,220
1007777,430
1007807,890
1008051,160
1008052,580
1008053,540
1008066,305
1008078,507
1008079,260
1008086,575
1008087,540
1008092,220
1008111,890
1008113,220
1008116,160
1008134,350
1008141,430
1008163,745
1008167,575
1008170,507
1008172,890
1008173,395
1008190,305
1008202,540
1008203,515
1008219,220
1008224,220
1008241,360
1008270,540
1008275,395
1008287,360
1008289,420
1008290,430
1008293,220
1008296,595
1008299,305
1008308,760
1008331,430
1008346,745
1008348,305
1008350,160
1008351,430
1008352,360
1008355,595
1008383,350
1008396,515
1008402,745
1008405,730
1008407,575
1008411,360
1008439,220
1008471,395
1008472,360
1008474,345
1008475,430
1008481,160
1008490,395
1008492,230
1008503,160
1008506,210
1008523,160
1008526,220
1008527,230
1008528,260
1008534,890
1008536,415
1008540,580
1008548,220
1008577,395
1008587,260
1008588,345
1008590,535
1008598,360
1008607,430
1008608,455
1008616,350
1008630,220
1008632,430
1008639,430
1008642,430
1008673,160
1008700,430
1008702,360
1008714,220
1008753,345
1008755,540
1008783,160
1008788,430
1008795,160
1008806,360
1008807,375
1008857,515
1008882,160
1008885,210
1008890,430
1008937,160
1008954,535
1008957,230
1008958,260
1008959,430
1008976,350
1008977,420
1008979,540
1008980,395
1008998,430
1009039,430
1009056,430
1009076,580
1009082,230
1009101,305
1009106,395
1009115,355
1009125,535
1009126,515
1009135,360
1009139,455
1009143,360
1009165,575
1009170,260
1009185,540
1009192,430
1009197,395
1009238,220
1009240,430
1009242,580
1009253,395
1009260,360
1009261,395
1009265,360
1009274,360
1009276,415
1009278,515
1009286,540
1009301,160
1009332,820
1009335,360
1009350,575
1009353,360
1009357,575
1009386,220
1009389,575
1009390,430
1009391,430
1009392,345
1009434,430
1009436,305
1009490,220
1009547,360
1009582,745
1009584,260
1009588,220
1009595,395
1009607,395
1009624,220
1009625,395
1009665,400
1009666,415
1009674,430
1009683,220
1009686,230
1009689,420
1009706,220
1009720,220
1009728,220
1009731,540
1009732,160
1009762,395
1009783,220
1009785,595
1009811,260
1009813,430
1009830,515
1009837,220
1009848,220
1009860,400
1009862,220
1009878,160
1009890,230
1009907,260
1009932,160
1009956,585
1010002,395
1010084,220
1010117,305
1010157,535
1010164,220
1010183,160
1010190,395
1010205,345
1010222,220
1010233,160
1010291,305
1010294,430
1010318,230
1010319,507
1010320,305
1010325,395
1010372,430
1010485,360
1010521,395
1010621,260
1010701,360
1010707,745
1010718,160
1010721,160
1010738,750
1010784,430
1010837,220
1010839,260
1010932,745
1010943,220
1010945,220
1011081,745
1011091,360
1011099,430
1011100,580
1011185,395
1011191,350
1011194,230
1011250,395
1011318,515
1011393,160
1011450,535
1011454,160
1011498,430
1011531,220
1011534,220
1011596,575
1011652,220
1011654,535
1011659,430
1011662,430
1011666,360
1011673,745
1011674,415
1011684,420
1011688,160
1011690,430
1011706,160
1011763,415
1011765,420
1011773,220
1011782,890
1011804,740
1011847,220
1011854,360
1011873,395
1011895,530
1011913,230
1011923,395
1011962,305
1011975,260
1011978,580
1011995,160
1011998,230
1012014,420
1012021,395
1012040,260
1012059,395
1012060,230
1012068,430
1012070,355
1012100,395
1012129,430
1012376,430
1012437,360
1012449,430
1012509,230
1012511,260
1012528,360
1012537,160
1012571,220
1012605,355
1012612,530
1012706,535
1012724,580
1012734,160
1012780,430
1012893,820
1012936,160
1012945,220
1012947,515
1012952,435
1012984,210
1012988,160
1013010,220
1013021,395
1013026,360
1013034,260
1013035,160
1013038,430
1013078,355
1013080,260
1013087,220
1013089,160
1013091,210
1013100,345
1013104,160
1013106,430
1013111,507
1013123,360
1013128,220
1013214,420
1013216,430
1013222,430
1013226,540
1013261,415
1013262,420
1013264,515
1013283,160
1013285,575
1013288,575
1013289,515
1013306,160
1013318,220
1013325,220
1013331,360
1013339,360
1013346,230
1013354,220
1013357,260
1013369,540
1013377,430
1013381,540
1013386,160
1013393,430
1013407,430
1013412,430
1013413,160
1013417,430
1013483,430
1013580,360
1013595,220
1013601,345
1013606,430
1013614,360
1013626,430
1013657,420
1013671,220
1013674,430
1013677,415
1013682,540
1013691,230
1013699,430
1013728,395
1013732,360
1013734,430
1013735,430
1013736,430
1013751,375
1013771,395
1013833,360
1013845,430
1013851,220
1013861,580
1013870,260
1013896,260
1013897,430
1013913,430
1013922,230
1013931,220
1013936,220
1013983,430
1013986,430
1013993,430
1014071,430
1014085,220
1014100,430
1014129,430
1014137,430
1014225,415
1014226,360
1014233,430
1014239,420
1014240,260
1014241,230
1014271,430
1014282,430
1014321,430
1014326,360
1014327,400
1014333,160
1014339,535
1014341,430
1014344,220
1014349,430
1014351,230
1014354,160
1014356,430
1014357,355
1014358,545
1014361,430
1014369,430
1014371,395
1014375,595
1014380,430
1014382,305
1014388,395
1014401,430
1014404,395
1014411,220
1014412,430
1014413,530
1014415,430
1014418,430
1014420,230
1014425,220
1014426,160
1014431,220
1014438,355
1014439,350
1014470,430
1014504,430
1014512,430
1014544,430
1014545,580
1014569,345
1014589,430
1014600,230
1014617,430
1014618,160
1014624,430
1014625,160
1014640,430
1014642,360
1014648,540
1014650,230
1014661,575
1014664,345
1014665,230
1014678,395
1014682,430
1014683,515
1014684,160
1014687,535
1014690,220
1014693,160
1014704,430
1014706,260
1014713,575
1014718,360
1014727,430
1014730,430
1014737,345
