EF_W_FACILITY_OVERVIEW.FACILITY_NAME,EF_W_FACILITY_OVERVIEW.FACILITY_ID,EF_W_FACILITY_OVERVIEW.REPORTING_YEAR,EF_W_FACILITY_OVERVIEW.TABLE_NUM,EF_W_FACILITY_OVERVIEW.TABLE_DESC,EF_W_FACILITY_OVERVIEW.INDUSTRY_SEGMENT,EF_W_FACILITY_OVERVIEW.BASIN_ASSOCIATED_WITH_FACILITY,EF_W_FACILITY_OVERVIEW.GAS_PROD_CAL_YEAR_FROM_WELLS,EF_W_FACILITY_OVERVIEW.GAS_PROD_CAL_YEAR_FOR_SALES,EF_W_FACILITY_OVERVIEW.OIL_PROD_CAL_YEAR_FOR_SALES,EF_W_FACILITY_OVERVIEW.SUB_BASIN_COUNTY,EF_W_FACILITY_OVERVIEW.SUB_BASIN_FORMATION_TYPE,EF_W_FACILITY_OVERVIEW.SUB_BASIN_IDENTIFIER,EF_W_FACILITY_OVERVIEW.API_GRAVITY,EF_W_FACILITY_OVERVIEW.GAS_OIL_WELL_RATIO,EF_W_FACILITY_OVERVIEW.AVERAGE_LOW_PRESSURE,EF_W_FACILITY_OVERVIEW.WELL_PRODUCING_END_OF_YEAR,EF_W_FACILITY_OVERVIEW.PRODUCING_WELLS_ACQUIRED,EF_W_FACILITY_OVERVIEW.PRODUCING_WELLS_DIVESTED,EF_W_FACILITY_OVERVIEW.WELLS_COMPLETED,EF_W_FACILITY_OVERVIEW.WELL_REMOVED_FROM_PRODUCTION,EF_W_FACILITY_OVERVIEW.CH4_AVERAGE_MOLE_FRACTION,EF_W_FACILITY_OVERVIEW.CO2_AVERAGE_MOLE_FRACTION,EF_W_FACILITY_OVERVIEW.QUANTITY_OF_GAS_HANDLED,EF_W_FACILITY_OVERVIEW.QUANTITY_OF_OIL_HANDLED,EF_W_FACILITY_OVERVIEW.FRACTIONATE_NGL,EF_W_FACILITY_OVERVIEW.NUMBER_OF_COMPRESSORS,EF_W_FACILITY_OVERVIEW.COMPRESSOR_POWER_RATING,EF_W_FACILITY_OVERVIEW.QUANTITY_OF_GAS_INJECTED,EF_W_FACILITY_OVERVIEW.QUANTITY_OF_GAS_WITHDRAWN,EF_W_FACILITY_OVERVIEW.TOTAL_STORAGE_CAPACITY,EF_W_FACILITY_OVERVIEW.QUANTITY_IMPORTED,EF_W_FACILITY_OVERVIEW.QUANTITY_EXPORTED,EF_W_FACILITY_OVERVIEW.QUANTITY_LNG_ADDED,EF_W_FACILITY_OVERVIEW.QUANTITY_LNG_WITHDRAWN,EF_W_FACILITY_OVERVIEW.QUANTITY_GAS_RECEIVED,EF_W_FACILITY_OVERVIEW.QUANTITY_GAS_WITHDRAWN,EF_W_FACILITY_OVERVIEW.QUANTITY_GAS_ADDED,EF_W_FACILITY_OVERVIEW.QUANTITY_GAS_DELIVERED,EF_W_FACILITY_OVERVIEW.QUANTITY_GAS_TRANSFERRED,EF_W_FACILITY_OVERVIEW.QUANTITY_GAS_CONSUMED,EF_W_FACILITY_OVERVIEW.QUANTITY_GAS_STOLEN,EF_W_FACILITY_OVERVIEW.QUANT_GAS_TRANSPORTED_GB,EF_W_FACILITY_OVERVIEW.QUANT_HC_LIQ_RECD,EF_W_FACILITY_OVERVIEW.QUANT_HC_LIQ_TRANS,EF_W_FACILITY_OVERVIEW.US_STATE,EF_W_FACILITY_OVERVIEW.MILES_OF_TRANS_PIPE,EF_W_FACILITY_OVERVIEW.MISSING_DATA_PROC_USED
EOG Resources  Inc.220 Gulf Coast basin,1008219,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,MADISON  TX (313),Other tight reservoir rock,220 - MADISON  TX (313) - Other tight reservoir rock,,,,3,0,0,0,0,.753933,.036679,,,,,,,,,,,,,,,,,,,,,,,,,
EOG Resources  Inc.220 Gulf Coast basin,1008219,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,MC MULLEN  TX (311),Oil,220 - MC MULLEN  TX (311) - Oil,47.92,1461.797,21.1,307,0,0,14,0,.747398,.019258,,,,,,,,,,,,,,,,,,,,,,,,,
EOG Resources  Inc.220 Gulf Coast basin,1008219,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,WALKER  TX (471),High permeability gas,220 - WALKER  TX (471) - High permeability gas,,,,5,0,0,0,0,.918468,.041156,,,,,,,,,,,,,,,,,,,,,,,,,
EOG Resources  Inc.220 Gulf Coast basin,1008219,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,WALKER  TX (471),Oil,220 - WALKER  TX (471) - Oil,55.33,34226.747,75,6,0,0,0,0,.802564,.041015,,,,,,,,,,,,,,,,,,,,,,,,,
EOG Resources  Inc.220 Gulf Coast basin,1008219,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,WEBB  TX (479),Shale gas,220 - WEBB  TX (479) - Shale gas,,,,45,1,0,0,0,.954649,.034904,,,,,,,,,,,,,,,,,,,,,,,,,
EOG Resources  Inc.220 Gulf Coast basin,1008219,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,WEST FELICIANA  LA (125),Oil,220 - WEST FELICIANA  LA (125) - Oil,56.06,459.666,100,1,0,0,0,0,.73437,.02421,,,,,,,,,,,,,,,,,,,,,,,,,
EOG Resources  Inc.220 Gulf Coast basin,1008219,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,WILLACY  TX (489),High permeability gas,220 - WILLACY  TX (489) - High permeability gas,,,,12,0,0,0,0,.881006,.001572,,,,,,,,,,,,,,,,,,,,,,,,,
EOG Resources  Inc.220 Gulf Coast basin,1008219,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,WILLACY  TX (489),Oil,220 - WILLACY  TX (489) - Oil,54.68,24897.659,40,4,0,0,0,0,.747398,.019258,,,,,,,,,,,,,,,,,,,,,,,,,
EOG Resources  Inc.220 Gulf Coast basin,1008219,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,WILSON  TX (493),Oil,220 - WILSON  TX (493) - Oil,44.43,632.2,6.3,44,0,0,2,0,.684178,.030344,,,,,,,,,,,,,,,,,,,,,,,,,
EOG Resources  Inc.220 Gulf Coast basin,1008219,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,WILSON  TX (493),Shale gas,220 - WILSON  TX (493) - Shale gas,,,,1,0,0,0,0,.747398,.019258,,,,,,,,,,,,,,,,,,,,,,,,,
Apache Corporation - Gulf Coast Basin 220,1008224,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,BRAZOS  TX (41),High permeability gas,220 - BRAZOS  TX (41) - High permeability gas,,,,3,0,0,0,0,.69963,.03406,,,,,,,,,,,,,,,,,,,,,,,,,
Apache Corporation - Gulf Coast Basin 220,1008224,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,BRAZOS  TX (41),Oil,220 - BRAZOS  TX (41) - Oil,48.97,2599.601,63,26,0,0,0,0,.656835,.03436,,,,,,,,,,,,,,,,,,,,,,,,,
Apache Corporation - Gulf Coast Basin 220,1008224,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,BRAZOS  TX (41),Shale gas,220 - BRAZOS  TX (41) - Shale gas,,,,17,0,0,0,0,.687486,.037867,,,,,,,,,,,,,,,,,,,,,,,,,
Apache Corporation - Gulf Coast Basin 220,1008224,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,BURLESON  TX (51),High permeability gas,220 - BURLESON  TX (51) - High permeability gas,,,,16,0,0,0,2,.713341,.034164,,,,,,,,,,,,,,,,,,,,,,,,,
Apache Corporation - Gulf Coast Basin 220,1008224,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,BURLESON  TX (51),Oil,220 - BURLESON  TX (51) - Oil,43.74,4061.922,63.1,33,0,0,0,1,.651981,.042974,,,,,,,,,,,,,,,,,,,,,,,,,
Apache Corporation - Gulf Coast Basin 220,1008224,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,BURLESON  TX (51),Shale gas,220 - BURLESON  TX (51) - Shale gas,,,,3,0,0,0,0,.620725,.045879,,,,,,,,,,,,,,,,,,,,,,,,,
Apache Corporation - Gulf Coast Basin 220,1008224,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,GRIMES  TX (185),High permeability gas,220 - GRIMES  TX (185) - High permeability gas,,,,3,0,0,0,0,.85555,.030247,,,,,,,,,,,,,,,,,,,,,,,,,
Apache Corporation - Gulf Coast Basin 220,1008224,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,GRIMES  TX (185),Oil,220 - GRIMES  TX (185) - Oil,43,5262.152,45,1,0,0,0,0,.66539,.03238,,,,,,,,,,,,,,,,,,,,,,,,,
Apache Corporation - Gulf Coast Basin 220,1008224,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,LEE  TX (287),Oil,220 - LEE  TX (287) - Oil,17.37,452.608,46.3,4,0,0,0,0,.625378,.027385,,,,,,,,,,,,,,,,,,,,,,,,,
Apache Corporation - Gulf Coast Basin 220,1008224,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,WHARTON  TX (481),High permeability gas,220 - WHARTON  TX (481) - High permeability gas,,,,0,0,27,0,0,.946156,.006381,,,,,,,,,,,,,,,,,,,,,,,,,
Apache Corporation - Gulf Coast Basin 220,1008224,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,WHARTON  TX (481),Oil,220 - WHARTON  TX (481) - Oil,26.15,0,149.8,0,0,102,0,0,.943398,.009054,,,,,,,,,,,,,,,,,,,,,,,,,
Unit Petroleum 783 Anadarko Basin,1008241,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,ALFALFA  OK (3),Other tight reservoir rock,360 - ALFALFA  OK (3) - Other tight reservoir rock,,,,10,0,0,0,0,.5999064,.0251812,,,,,,,,,,,,,,,,,,,,,,,,,
Unit Petroleum 783 Anadarko Basin,1008241,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,BEAVER  OK (7),Other tight reservoir rock,360 - BEAVER  OK (7) - Other tight reservoir rock,,,,73,3,0,0,0,.7333534,.0054131,,,,,,,,,,,,,,,,,,,,,,,,,
Unit Petroleum 783 Anadarko Basin,1008241,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,BECKHAM  OK (9),Other tight reservoir rock,360 - BECKHAM  OK (9) - Other tight reservoir rock,,,,2,0,0,0,0,.8535192,.0020967,,,,,,,,,,,,,,,,,,,,,,,,,
Unit Petroleum 783 Anadarko Basin,1008241,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,BLAINE  OK (11),Other tight reservoir rock,360 - BLAINE  OK (11) - Other tight reservoir rock,,,,14,0,0,0,0,.8647088,.0086416,,,,,,,,,,,,,,,,,,,,,,,,,
Unit Petroleum 783 Anadarko Basin,1008241,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,CADDO  OK (15),Other tight reservoir rock,360 - CADDO  OK (15) - Other tight reservoir rock,,,,79,0,0,0,0,.9204962,.0224536,,,,,,,,,,,,,,,,,,,,,,,,,
Unit Petroleum 783 Anadarko Basin,1008241,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,CANADIAN  OK (17),Other tight reservoir rock,360 - CANADIAN  OK (17) - Other tight reservoir rock,,,,17,1,0,0,0,.8950073,.0122374,,,,,,,,,,,,,,,,,,,,,,,,,
Unit Petroleum 783 Anadarko Basin,1008241,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,CUSTER  OK (39),Other tight reservoir rock,360 - CUSTER  OK (39) - Other tight reservoir rock,,,,63,1,0,0,0,.8228871,.0132487,,,,,,,,,,,,,,,,,,,,,,,,,
Unit Petroleum 783 Anadarko Basin,1008241,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,DEWEY  OK (43),Other tight reservoir rock,360 - DEWEY  OK (43) - Other tight reservoir rock,,,,20,3,0,0,0,.8250228,.0151239,,,,,,,,,,,,,,,,,,,,,,,,,
Unit Petroleum 783 Anadarko Basin,1008241,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,ELLIS  OK (45),Other tight reservoir rock,360 - ELLIS  OK (45) - Other tight reservoir rock,,,,108,2,0,0,0,.7519486,.0093613,,,,,,,,,,,,,,,,,,,,,,,,,
Unit Petroleum 783 Anadarko Basin,1008241,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,GRADY  OK (51),Other tight reservoir rock,360 - GRADY  OK (51) - Other tight reservoir rock,,,,99,0,0,0,0,.8205181,.0045849,,,,,,,,,,,,,,,,,,,,,,,,,
Unit Petroleum 783 Anadarko Basin,1008241,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,GRANT  OK (53),Other tight reservoir rock,360 - GRANT  OK (53) - Other tight reservoir rock,,,,1,0,0,0,0,.58,.0541347,,,,,,,,,,,,,,,,,,,,,,,,,
Unit Petroleum 783 Anadarko Basin,1008241,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,HANSFORD  TX (195),Other tight reservoir rock,360 - HANSFORD  TX (195) - Other tight reservoir rock,,,,4,0,0,0,0,.727936,.008456,,,,,,,,,,,,,,,,,,,,,,,,,
Unit Petroleum 783 Anadarko Basin,1008241,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,HARPER  OK (59),Other tight reservoir rock,360 - HARPER  OK (59) - Other tight reservoir rock,,,,20,0,0,0,0,.8267132,.0090868,,,,,,,,,,,,,,,,,,,,,,,,,
Unit Petroleum 783 Anadarko Basin,1008241,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,HEMPHILL  TX (211),Other tight reservoir rock,360 - HEMPHILL  TX (211) - Other tight reservoir rock,,,,244,7,0,0,0,.809236,.0093115,,,,,,,,,,,,,,,,,,,,,,,,,
Unit Petroleum 783 Anadarko Basin,1008241,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,LIPSCOMB  TX (295),Other tight reservoir rock,360 - LIPSCOMB  TX (295) - Other tight reservoir rock,,,,33,0,0,0,0,.8204035,.0094775,,,,,,,,,,,,,,,,,,,,,,,,,
Unit Petroleum 783 Anadarko Basin,1008241,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,MAJOR  OK (93),Other tight reservoir rock,360 - MAJOR  OK (93) - Other tight reservoir rock,,,,6,0,0,0,0,.8488513,.0315224,,,,,,,,,,,,,,,,,,,,,,,,,
Unit Petroleum 783 Anadarko Basin,1008241,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,OCHILTREE  TX (357),Other tight reservoir rock,360 - OCHILTREE  TX (357) - Other tight reservoir rock,,,,18,0,0,0,0,.8333198,.0081222,,,,,,,,,,,,,,,,,,,,,,,,,
Unit Petroleum 783 Anadarko Basin,1008241,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,ROBERTS  TX (393),Other tight reservoir rock,360 - ROBERTS  TX (393) - Other tight reservoir rock,,,,90,0,0,0,0,.7708838,.0093672,,,,,,,,,,,,,,,,,,,,,,,,,
Unit Petroleum 783 Anadarko Basin,1008241,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,ROGER MILLS  OK (129),Other tight reservoir rock,360 - ROGER MILLS  OK (129) - Other tight reservoir rock,,,,10,0,0,0,0,.8112979,.0075226,,,,,,,,,,,,,,,,,,,,,,,,,
Unit Petroleum 783 Anadarko Basin,1008241,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,TEXAS  OK (139),Other tight reservoir rock,360 - TEXAS  OK (139) - Other tight reservoir rock,,,,4,0,0,0,0,.676903,.0021357,,,,,,,,,,,,,,,,,,,,,,,,,
Unit Petroleum 783 Anadarko Basin,1008241,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,WASHITA  OK (149),Other tight reservoir rock,360 - WASHITA  OK (149) - Other tight reservoir rock,,,,4,1,0,0,0,.8437687,.0084602,,,,,,,,,,,,,,,,,,,,,,,,,
Unit Petroleum 783 Anadarko Basin,1008241,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,WHEELER  TX (483),Other tight reservoir rock,360 - WHEELER  TX (483) - Other tight reservoir rock,,,,7,0,0,0,0,.8294293,.0079365,,,,,,,,,,,,,,,,,,,,,,,,,
Unit Petroleum 783 Anadarko Basin,1008241,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,WOODS  OK (151),Other tight reservoir rock,360 - WOODS  OK (151) - Other tight reservoir rock,,,,7,0,0,0,0,.866599,.0107869,,,,,,,,,,,,,,,,,,,,,,,,,
Unit Petroleum 783 Anadarko Basin,1008241,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,WOODWARD  OK (153),Other tight reservoir rock,360 - WOODWARD  OK (153) - Other tight reservoir rock,,,,6,0,0,0,0,.8920374,.0079724,,,,,,,,,,,,,,,,,,,,,,,,,
Unit Petroleum 166 Golf Coast,1008242,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,ALLEN  LA (3),Other tight reservoir rock,220 - ALLEN  LA (3) - Other tight reservoir rock,,,,1,0,0,0,0,.704994,.0052683,,,,,,,,,,,,,,,,,,,,,,,,,
Unit Petroleum 166 Golf Coast,1008242,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,GOLIAD  TX (175),Other tight reservoir rock,220 - GOLIAD  TX (175) - Other tight reservoir rock,,,,8,0,0,0,0,.893628,.0658698,,,,,,,,,,,,,,,,,,,,,,,,,
Unit Petroleum 166 Golf Coast,1008242,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,HARDIN  TX (199),Other tight reservoir rock,220 - HARDIN  TX (199) - Other tight reservoir rock,,,,14,0,0,0,0,.84085,.02752,,,,,,,,,,,,,,,,,,,,,,,,,
Unit Petroleum 166 Golf Coast,1008242,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,LAVACA  TX (285),Other tight reservoir rock,220 - LAVACA  TX (285) - Other tight reservoir rock,,,,4,0,0,0,0,.8678802,.0610536,,,,,,,,,,,,,,,,,,,,,,,,,
Unit Petroleum 166 Golf Coast,1008242,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,NEWTON  TX (351),Other tight reservoir rock,220 - NEWTON  TX (351) - Other tight reservoir rock,,,,3,0,0,0,0,.7538843,.037785,,,,,,,,,,,,,,,,,,,,,,,,,
Unit Petroleum 166 Golf Coast,1008242,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,POLK  TX (373),Other tight reservoir rock,220 - POLK  TX (373) - Other tight reservoir rock,,,,52,0,0,0,0,.8270688,.0387605,,,,,,,,,,,,,,,,,,,,,,,,,
Unit Petroleum 166 Golf Coast,1008242,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,TYLER  TX (457),Other tight reservoir rock,220 - TYLER  TX (457) - Other tight reservoir rock,,,,13,0,0,0,0,.8080436,.0288073,,,,,,,,,,,,,,,,,,,,,,,,,
Basin 540 Denver Julesburg - Noble Energy Inc.,1008270,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,WELD  CO (123),Oil,540 - WELD  CO (123) - Oil,45.19,5383.5,22.7,2372,0,0,42,493,.720781,.020638,,,,,,,,,,,,,,,,,,,,,,,,,
Basin 540 Denver Julesburg - Noble Energy Inc.,1008270,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,WELD  CO (123),Other tight reservoir rock,540 - WELD  CO (123) - Other tight reservoir rock,,,,336,0,0,19,85,.7297,.0212,,,,,,,,,,,,,,,,,,,,,,,,,
XTO Energy Inc 395 Williston,1008275,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,BILLINGS  ND (7),Oil,395 - BILLINGS  ND (7) - Oil,48.13,3728.86,93.8,12,0,0,0,0,.6008,.0072,,,,,,,,,,,,,,,,,,,,,,,,,
XTO Energy Inc 395 Williston,1008275,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,BURKE  ND (13),Oil,395 - BURKE  ND (13) - Oil,43.6,1617.69,28,3,0,0,0,0,.5591,.0068,,,,,,,,,,,,,,,,,,,,,,,,,
XTO Energy Inc 395 Williston,1008275,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,DIVIDE  ND (23),Oil,395 - DIVIDE  ND (23) - Oil,39.1,1836.08,58.5,1,0,0,0,0,.6174,.0088,,,,,,,,,,,,,,,,,,,,,,,,,
XTO Energy Inc 395 Williston,1008275,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,DUNN  ND (25),Oil,395 - DUNN  ND (25) - Oil,43.95,2240.34,29.3,291,0,0,2,0,.5691,.0084,,,,,,,,,,,,,,,,,,,,,,,,,
XTO Energy Inc 395 Williston,1008275,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,GOLDEN VALLEY  ND (33),Oil,395 - GOLDEN VALLEY  ND (33) - Oil,43.6,1956.75,28,5,0,0,0,0,.6174,.0088,,,,,,,,,,,,,,,,,,,,,,,,,
XTO Energy Inc 395 Williston,1008275,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,MC KENZIE  ND (53),Oil,395 - MC KENZIE  ND (53) - Oil,44.16,2865.47,29.2,463,0,0,0,0,.6282,.0091,,,,,,,,,,,,,,,,,,,,,,,,,
XTO Energy Inc 395 Williston,1008275,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,MOUNTRAIL  ND (61),Oil,395 - MOUNTRAIL  ND (61) - Oil,39.1,1929.29,58.5,6,0,0,0,0,.5636,.0079,,,,,,,,,,,,,,,,,,,,,,,,,
XTO Energy Inc 395 Williston,1008275,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,RICHLAND  MT (83),Oil,395 - RICHLAND  MT (83) - Oil,45.67,2087.98,45,166,0,0,0,0,.5016,.007,,,,,,,,,,,,,,,,,,,,,,,,,
XTO Energy Inc 395 Williston,1008275,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,ROOSEVELT  MT (85),Oil,395 - ROOSEVELT  MT (85) - Oil,37.6,1460.9,34,3,0,0,0,0,.5516,.0085,,,,,,,,,,,,,,,,,,,,,,,,,
XTO Energy Inc 395 Williston,1008275,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,WILLIAMS  ND (105),Oil,395 - WILLIAMS  ND (105) - Oil,43.75,1881.99,62.9,216,0,0,0,0,.6282,.0092,,,,,,,,,,,,,,,,,,,,,,,,,
360 Anadarko Basin DEC,1008287,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,BLAINE  OK (11),High permeability gas,360 - BLAINE  OK (11) - High permeability gas,,,,9,0,0,0,0,.86151,.00578,,,,,,,,,,,,,,,,,,,,,,,,,
360 Anadarko Basin DEC,1008287,2020,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,BLAINE  OK (11),Oil,360 - BLAINE  OK (11) - Oil,22.2319436,14.14212,70.8,118,0,0,0,0,.82339,.005705,,,,,,,,,,,,,,,,,,,,,,,,,
