0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.994072457,4.050822336,2.786573978,32.26960369,11.53915177,7.937820368,91.92302786,51.36269117,35.3325638,409.164745,380.4294677,261.6986792,3030.571853,717.7580284,493.748103,5717.793869,2158.152847,1484.600425,17192.24673,863.5822462,594.061061,6879.456693,2032.817356,1398.38173,16193.80091,117.3906706,80.7534275,935.1559019,192790,425170,208860,294520,581920,856460,2722700,953610,676700,99644,38110,40256,270320,204490
3960,2724,31542,6748,4642,53750,4471,3075,35610,4612,3173,36739,5920,4073,47157,2887,1986,22996,3256,2240,25935,697,480,5551,609,419,4848,10,7,72,42,29,331,299,206,2377,405,279,3224,973,669,7744,3205,2205,25529,3099,2132,24686,3111,2140,24781,321,221,2554,279,192,2215,3,2,19,65606,89163,38948,44410,54343,32775,42848,7280,4464,348,114460,27149,45205,4759
83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3
3901196.621,2683645.957,31077657.42,46697828.52,32123589.47,372003582,81115886.46,55799884.47,646184229.1,166299997.2,114398313.8,1324776689,479330563.9,329733067.8,3818436368,501911668.8,345266684,3998321647,1862733988,1281380823,14838885189,1202573315,827254129.4,9579922556,3912590756,2691484020,31168425224,452890990.4,311545198.4,3607813811,63623.29889,43766.67608,203942.8903,221131.7667,221131.7667,221131.7667,264649.9102,264649.9102,264649.9102,288186.1816,288186.1816,288186.1816,291012.062,291012.062,291012.062,306885.2554,306885.2554,306885.2554,285284.3772,285284.3772,285284.3772,258519.1493,258519.1493,258519.1493,325049.6815,325049.6815,325049.6815,309714.9916,309714.9916,309714.9916,119.8558016,545.2642472,1343.1964,2169.462176,2982.025021,2722.252061,3412.348037,5246.484412,14599.08379,53542.6117,476.1742325,483.7042925,495.8567624,517.5803218
1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,,,,,,,,,,,,,,
0.217816,0.217816,0.217816,0.045672,0.045672,0.045672,0.033044,0.03304445,0.033044,0.00867,0.00867,0.00867,0.002695,0.002695,0.002695,0.001077,0.001077,0.001077,0.000636,0.000636,0.000636,0.000446,0.000446,0.000446,0.00017,0.00017,0.000170213,0,0,0,0.2175,0.2175,0.2175,0.045833,0.045833,0.045833,0.033018,0.033018,0.033018,0.008632,0.008632,0.008632,0.002683,0.002683,0.002683,0.00107,0.00107,0.00107,0.000633,0.000633,0.000633,0.000323,0.000323,0.000323,0,0,0,0,0,0,0.082401,0.060114622,0.060106,0.065098,0.040465,0.031274,0.014376,0.006456,0.005376,0,0.082404,0.082397,0.060104,0.06514
